관서명,주소,Latitude,Longitude
방화3파출소,서울특별시 강서구  금낭화로26길 16,37.5798086,126.8146637
염창지구대,서울특별시 강서구  공항대로59다길 80,37.5518991,126.8674085
등촌2파출소,서울특별시 강서구  등촌로 167 ,37.5447718,126.8619202
발산지구대,서울특별시 강서구  수명로2길 46 ,37.5493916,126.8260837
화곡3파출소,서울특별시 강서구  강서로45다길 71,37.5446703,126.8351964
마곡지구대,서울특별시 강서구 마곡중앙5로 32,37.5670522,126.8232263
천호지구대,"서울특별시 강동구  구천면로 141, 천호지구대",37.5414579,127.1354748
길동지구대,서울특별시 강동구 양재대로96길 35,37.5295087,127.1391995
성내지구대,서울특별시 강동구  성내로 57 성내지구대 ,37.5295697,127.1239563
암사지구대,서울특별시 강동구  고덕로 137 암사지구대,37.5549581,127.1407803
둔촌파출소,서울특별시 강동구  진황도로 239 둔촌파출소,37.5253425,127.1456295
명일파출소,서울특별시 강동구 동남로 895 명일파출소,37.5536024,127.1560736
강일파출소,서울특별시 강동구  아리수로91길 20,37.5648437,127.1732748
고덕파출소,서울특별시 강동구  고덕로 61길61,37.5573421,127.1517305
상일파출소,서울특별시 강동구 고덕로 80길 7,37.5561836,127.1658284
석관파출소,서울특별시 성북구  화랑로32가길 20 석관파출소,37.608969,127.0552581
장위지구대,서울특별시 성북구 장위로174 장위지구대,37.6193708,127.053603
월곡지구대,서울특별시 성북구  종암로32길 5 월곡지구대,37.6043982,127.0324129
종암파출소,서울특별시 성북구  종암로23길 52,37.6000864,127.0312535
신구로지구대,서울특별시 구로구 새말로 26 신구로지구대,37.5022496,126.8838927
오류지구대,서울특별시 구로구  고척로1길 34 오류지구대,37.4947379,126.8388078
구일지구대,서울특별시 구로구  도림로 63 구일지구대,37.4892371,126.8907025
고척지구대,서울특별시 구로구 중앙로 15길 30 고척지구대,37.50654,126.8582329
개봉지구대,서울특별시 구로구  개봉로18길 5 개봉지구대,37.4918286,126.8564568
구로3파출소,서울특별시 구로구  디지털로31길 86 구로3파출소,37.4866541,126.8913691
가리봉파출소,서울특별시 구로구 남부순환로 1275 가리봉파출소,37.4791578,126.8926325
천왕파출소,서울특별시 구로구 오리로 1102-8,37.4834277,126.84181
반포지구대,서울특별시 서초구 신반포로190,37.5059834,127.0051816
서초2파출소,서울 서초구 서운로 38,37.4875131,127.0289593
서초3파출소,서울 서초구 반포대로30길 40,37.4919865,127.0107859
양재파출소,서울 서초구 남부순환로356길 9,37.4845428,127.0378441
서초파출소,서울 서초구 효령로 297,37.4852897,127.0167473
우면파출소,서울 서초구 바우뫼로 45,37.471845,127.0271792
내곡파출소,서울특별시 서초구 헌릉로 226,37.454992,127.0648545
목1지구대,서울특별시 양천구  목동동로 373,37.5351903,126.8785906
목2지구대,서울특별시 양천구  등촌로 166,37.5445156,126.862375
